%%%0%%%
0,0,0,2,0,7,6,0,5
8,0,0,0,0,0,0,0,2
0,6,0,0,4,1,3,0,0
0,0,0,4,0,0,1,0,0
3,0,8,0,2,5,0,0,0
0,2,4,0,0,0,0,0,3
1,8,6,3,0,2,0,4,9
5,0,0,0,0,0,0,7,1
0,7,2,5,1,9,0,3,6
%%%1%%%
3,0,0,1,0,8,0,0,6
0,7,1,0,2,0,0,4,0
0,0,0,3,7,4,8,0,0
0,0,4,9,1,2,5,0,0
5,0,0,4,0,0,1,0,2
1,0,0,0,0,0,0,7,0
6,8,0,0,9,0,0,0,0
9,0,5,2,0,3,6,0,0
4,0,7,8,6,0,9,1,3
%%%2%%%
5,5,0,2,0,6,0,0,0
7,0,6,0,0,0,3,0,0
0,0,0,0,7,0,0,9,0
1,9,5,6,3,0,4,0,7
0,2,0,0,0,0,9,0,8
6,0,8,4,2,9,1,0,3
0,5,0,0,0,0,6,0,0
0,0,1,9,0,7,0,3,0
0,0,0,8,6,0,2,1,0
%%%3%%%
